,car_model,hp_kW,Displacement_cc,km,age,Gearing_Type,cons_comb,price
134,Audi A1,70.0,999.0,51000.0,3.0,Automatic,4.4,18350
135,Audi A1,70.0,999.0,7307.0,2.0,Automatic,4.4,18349
136,Audi A1,70.0,999.0,4800.0,1.0,Automatic,4.4,18333
137,Audi A1,70.0,999.0,5500.0,1.0,Automatic,4.4,18333
138,Audi A1,66.0,1422.0,35500.0,1.0,Automatic,4.0,18300
139,Audi A1,92.0,1395.0,18000.0,2.0,Automatic,4.9,18300
140,Audi A1,92.0,1395.0,40000.0,2.0,Automatic,4.6,18290
141,Audi A1,85.0,1598.0,14551.0,1.0,Automatic,4.0,18250
142,Audi A1,85.0,999.0,16500.0,1.0,Automatic,3.8,18200
143,Audi A1,85.0,1598.0,26700.0,3.0,Automatic,3.8,18185
144,Audi A1,70.0,999.0,8000.0,2.0,Automatic,4.4,18150
145,Audi A1,85.0,1598.0,15000.0,1.0,Automatic,3.8,18000
146,Audi A1,92.0,1395.0,14436.0,2.0,Automatic,5.2,17998
147,Audi A1,92.0,1395.0,72624.0,3.0,Automatic,5.2,17998
148,Audi A1,66.0,1422.0,13960.0,3.0,Automatic,3.9,17990
149,Audi A1,92.0,1395.0,40301.0,3.0,Automatic,5.2,17990
150,Audi A1,71.0,999.0,19990.0,2.0,Automatic,4.6,17990
151,Audi A1,70.0,999.0,3087.0,1.0,Automatic,4.4,17990
152,Audi A1,66.0,1422.0,37626.0,3.0,Automatic,4.1,17989
153,Audi A1,70.0,999.0,22980.0,2.0,Automatic,4.4,17980
154,Audi A1,66.0,1422.0,57926.0,3.0,Automatic,3.8,17980
155,Audi A1,92.0,1395.0,3900.0,2.0,Automatic,4.9,17970
156,Audi A1,92.0,1395.0,7924.0,3.0,Automatic,4.9,17980
157,Audi A1,85.0,1598.0,6257.0,2.0,Automatic,4.0,17970
158,Audi A1,85.0,1598.0,29800.0,3.0,Automatic,3.7,17950
159,Audi A1,70.0,999.0,35816.0,3.0,Automatic,4.4,17950
160,Audi A1,92.0,1395.0,12960.0,1.0,Automatic,4.9,17950
161,Audi A1,70.0,999.0,8600.0,1.0,Automatic,4.4,17950
162,Audi A1,70.0,999.0,14300.0,2.0,Automatic,3.8,17950
163,Audi A1,70.0,999.0,9463.0,1.0,Automatic,4.4,17944
164,Audi A1,92.0,1395.0,20326.0,3.0,Automatic,4.9,17940
165,Audi A1,70.0,999.0,70000.0,3.0,Automatic,4.4,17950
166,Audi A1,66.0,1422.0,23664.0,1.0,Automatic,3.8,17500
167,Audi A1,66.0,1422.0,51900.0,3.0,Automatic,3.8,17500
168,Audi A1,70.0,999.0,15000.0,2.0,Automatic,4.4,17500
169,Audi A1,92.0,1395.0,33000.0,3.0,Automatic,4.9,17500
170,Audi A1,66.0,1422.0,12000.0,3.0,Automatic,3.8,17450
171,Audi A1,66.0,1422.0,42000.0,2.0,Automatic,3.8,17500
172,Audi A1,85.0,1598.0,25976.0,2.0,Automatic,4.0,17930
173,Audi A1,70.0,999.0,26299.0,2.0,Automatic,4.2,17500
174,Audi A1,70.0,999.0,40000.0,2.0,Automatic,4.4,17495
175,Audi A1,66.0,1422.0,36530.0,2.0,Automatic,3.8,17490
176,Audi A1,67.0,1422.0,29159.0,2.0,Automatic,3.8,17490
177,Audi A1,141.0,1798.0,55000.0,3.0,Automatic,5.8,17490
178,Audi A1,70.0,999.0,40133.0,3.0,Automatic,4.4,17449
179,Audi A1,92.0,1395.0,38562.0,2.0,Automatic,4.9,17445
180,Audi A1,70.0,999.0,7300.0,1.0,Automatic,4.4,17444
181,Audi A1,92.0,1395.0,10457.0,2.0,Automatic,4.9,17440
182,Audi A1,70.0,999.0,27058.0,3.0,Automatic,4.4,17420
183,Audi A1,70.0,999.0,38344.0,3.0,Automatic,4.4,17450
184,Audi A1,110.0,1395.0,45276.0,3.0,Automatic,4.7,17445
185,Audi A1,70.0,999.0,16607.0,1.0,Automatic,4.4,17370
186,Audi A1,70.0,999.0,26462.0,3.0,Automatic,4.4,17350
187,Audi A1,66.0,1422.0,62000.0,2.0,Automatic,3.8,17900
188,Audi A1,85.0,1598.0,40257.0,2.0,Automatic,3.8,17930
189,Audi A1,85.0,1598.0,36709.0,3.0,Automatic,3.8,17920
190,Audi A1,70.0,999.0,25330.0,2.0,Automatic,4.5,17900
191,Audi A1,66.0,999.0,11300.0,3.0,Automatic,3.9,17900
192,Audi A1,70.0,999.0,10170.0,1.0,Automatic,4.6,17900
193,Audi A1,85.0,1598.0,12260.0,1.0,Automatic,4.0,17900
194,Audi A1,70.0,999.0,44604.0,3.0,Automatic,4.2,17900
195,Audi A1,71.0,999.0,25751.0,2.0,Automatic,4.6,17900
196,Audi A1,70.0,999.0,13000.0,2.0,Automatic,4.4,17900
197,Audi A1,70.0,999.0,63136.0,3.0,Automatic,4.4,17900
198,Audi A1,85.0,1598.0,21900.0,2.0,Automatic,3.8,17900
199,Audi A1,70.0,999.0,23357.0,3.0,Automatic,4.4,17900
200,Audi A1,110.0,1395.0,40000.0,3.0,Automatic,5.0,17900
201,Audi A1,70.0,999.0,63136.0,3.0,Automatic,4.4,17900
202,Audi A1,92.0,1395.0,27950.0,3.0,Automatic,4.9,17890
203,Audi A1,70.0,999.0,3150.0,3.0,Automatic,4.4,16900
204,Audi A1,70.0,999.0,4810.0,1.0,Automatic,4.6,17900
205,Audi A1,66.0,1422.0,32700.0,2.0,Automatic,4.0,16900
206,Audi A1,66.0,1422.0,67790.0,3.0,Automatic,4.0,16900
207,Audi A1,85.0,1598.0,63500.0,2.0,Automatic,3.8,17890
208,Audi A1,93.0,1395.0,37702.0,2.0,Automatic,4.6,17900
209,Audi A1,66.0,1422.0,40164.0,2.0,Automatic,3.8,17900
210,Audi A1,71.0,999.0,47750.0,3.0,Automatic,4.6,16900
211,Audi A1,92.0,1395.0,39600.0,3.0,Automatic,5.2,16890
212,Audi A1,70.0,999.0,29200.0,3.0,Automatic,4.4,16890
213,Audi A1,70.0,999.0,32103.0,3.0,Automatic,4.4,16880
214,Audi A1,70.0,999.0,19700.0,2.0,Automatic,4.4,16880
215,Audi A1,70.0,999.0,6680.0,2.0,Automatic,4.4,16880
216,Audi A1,92.0,1395.0,49100.0,3.0,Automatic,5.1,16880
217,Audi A1,92.0,1395.0,30348.0,3.0,Automatic,5.2,16879
218,Audi A1,66.0,1422.0,7680.0,2.0,Automatic,4.1,16870
219,Audi A1,66.0,1422.0,36400.0,3.0,Automatic,4.0,16850
220,Audi A1,92.0,1395.0,49800.0,3.0,Automatic,4.9,16840
221,Audi A1,92.0,1395.0,50200.0,3.0,Automatic,4.9,16830
222,Audi A1,92.0,1395.0,47500.0,3.0,Automatic,4.9,16876
223,Audi A1,70.0,999.0,24762.0,2.0,Automatic,4.4,16820
224,Audi A1,70.0,999.0,36236.0,3.0,Automatic,5.1,16800
225,Audi A1,92.0,1395.0,38831.0,3.0,Automatic,5.2,16790
226,Audi A1,66.0,1422.0,18556.0,2.0,Automatic,3.7,16780
227,Audi A1,85.0,1598.0,36625.0,3.0,Automatic,4.0,16530
228,Audi A1,92.0,1395.0,25000.0,3.0,Automatic,4.9,16500
229,Audi A1,85.0,1598.0,36041.0,2.0,Automatic,4.0,16500
230,Audi A1,85.0,1598.0,36500.0,3.0,Automatic,3.7,16500
231,Audi A1,92.0,1395.0,25000.0,3.0,Automatic,4.9,16500
232,Audi A1,85.0,1598.0,66000.0,3.0,Automatic,3.7,16500
233,Audi A1,67.0,1422.0,90000.0,3.0,Automatic,3.8,16490
234,Audi A1,70.0,999.0,14000.0,3.0,Automatic,4.4,16490
235,Audi A1,70.0,999.0,16081.0,3.0,Automatic,4.4,16490
236,Audi A1,92.0,1395.0,32863.0,3.0,Automatic,4.6,16480
237,Audi A1,70.0,999.0,54889.0,3.0,Automatic,4.4,16480
238,Audi A1,70.0,999.0,18392.0,3.0,Automatic,4.4,16450
239,Audi A1,92.0,1395.0,40800.0,3.0,Automatic,4.9,16480
240,Audi A1,66.0,1422.0,60490.0,3.0,Automatic,4.1,16480
241,Audi A1,70.0,999.0,33142.0,3.0,Automatic,4.4,16444
242,Audi A1,92.0,1395.0,40500.0,3.0,Automatic,5.1,16430
243,Audi A1,92.0,1395.0,13819.0,3.0,Automatic,4.9,16443
244,Audi A1,66.0,1422.0,18800.0,3.0,Automatic,3.8,17300
245,Audi A1,92.0,1395.0,40550.0,3.0,Automatic,4.9,17240
246,Audi A1,70.0,999.0,25000.0,3.0,Automatic,4.4,17150
247,Audi A1,85.0,1598.0,46000.0,2.0,Automatic,3.7,17000
248,Audi A1,85.0,1598.0,31987.0,2.0,Automatic,4.0,16999
249,Audi A1,110.0,1395.0,52800.0,3.0,Automatic,4.7,16999
250,Audi A1,67.0,1422.0,57178.0,3.0,Automatic,3.8,16995
251,Audi A1,85.0,1598.0,36500.0,2.0,Automatic,4.0,16990
252,Audi A1,70.0,999.0,14000.0,2.0,Automatic,4.4,16990
253,Audi A1,92.0,1395.0,59500.0,3.0,Automatic,5.1,16980
254,Audi A1,85.0,1598.0,26861.0,3.0,Automatic,3.9,16970
255,Audi A1,70.0,999.0,13200.0,1.0,Automatic,4.4,16950
256,Audi A1,70.0,999.0,19177.0,2.0,Automatic,4.4,16975
257,Audi A1,70.0,999.0,19044.0,2.0,Automatic,4.6,16950
258,Audi A1,70.0,999.0,40500.0,3.0,Automatic,4.4,16930
259,Audi A1,66.0,1422.0,33000.0,2.0,Automatic,4.0,16900
260,Audi A1,66.0,1422.0,21000.0,2.0,Automatic,3.8,16900
261,Audi A1,85.0,1598.0,58033.0,3.0,Automatic,3.7,16900
262,Audi A1,85.0,1598.0,32000.0,2.0,Automatic,3.7,16900
263,Audi A1,70.0,999.0,12500.0,3.0,Automatic,4.5,17890
264,Audi A1,66.0,1422.0,36530.0,2.0,Automatic,3.8,17890
265,Audi A1,70.0,999.0,5991.0,1.0,Automatic,4.4,17880
266,Audi A1,70.0,999.0,33306.0,2.0,Automatic,4.4,17880
267,Audi A1,92.0,1395.0,52896.0,3.0,Automatic,4.9,17850
268,Audi A1,85.0,1598.0,32000.0,2.0,Automatic,4.0,17750
269,Audi A1,92.0,1395.0,9998.0,2.0,Automatic,4.9,17820
270,Audi A1,67.0,1422.0,49198.0,3.0,Automatic,3.8,17790
271,Audi A1,66.0,1422.0,28600.0,2.0,Automatic,3.8,17777
272,Audi A1,92.0,1395.0,59000.0,2.0,Automatic,5.0,17820
273,Audi A1,70.0,999.0,10300.0,1.0,Automatic,4.4,17770
274,Audi A1,70.0,999.0,24550.0,2.0,Automatic,4.4,17700
275,Audi A1,85.0,1596.0,26000.0,3.0,Automatic,3.6,17700
276,Audi A1,70.0,999.0,40800.0,3.0,Automatic,4.4,17700
277,Audi A1,70.0,999.0,24550.0,2.0,Automatic,4.4,17700
278,Audi A1,70.0,999.0,7701.0,1.0,Automatic,4.4,17660
279,Audi A1,92.0,1395.0,19500.0,2.0,Automatic,4.9,17650
280,Audi A1,66.0,1422.0,45605.0,2.0,Automatic,3.8,17650
281,Audi A1,92.0,1395.0,45200.0,3.0,Automatic,4.9,17530
